var str='';
for (var i in $('.news-item')){
	str +=$('.news-item').eq(i).find(".news-item-title").eq(0).text()+','+$('.news-item').eq(i).find(".news-item-time").eq(0).text().replace(/[ \r\n]/g, "")+','+$('.news-item').eq(i).attr('data-url') +"\n";
}
console.log(str)


《流星蝴蝶剑》CJ无伤奖“肥宅快乐箱”遗憾未送出，公测接着送！,08-06,lx.163.com/news/20180806/28559_768592.html
这是要送妹子？希里小姐姐竟出现在《流星蝴蝶剑》肥宅快乐箱中,08-05,lx.163.com/news/20180806/28559_768587.html
CJ首日：“奇葩”大奖引爆全场，《流星蝴蝶剑》新BOSS未尝败绩,08-04,lx.163.com/news/20180806/28559_768575.html
《流星蝴蝶剑》Chinajoy设擂邀客，无伤击败Boss可获得肥宅快乐箱？,08-03,lx.163.com/news/20180803/28559_768200.html
《流星蝴蝶剑》手游二测圆满收官，AppStore开启预约！,08-02,lx.163.com/news/20180802/28559_768004.html
只有极少数人能见到真容，《流星蝴蝶剑》后期boss大揭秘,07-30,lx.163.com/news/20180730/28559_767320.html
打这款游戏的BOSS时，quin和韦天竟然喊出：爹，我错了？,07-27,lx.163.com/news/20180727/28559_766872.html
福利：安卓内测充值，公测150%返还！（附详细规则）,07-26,lx.163.com/news/20180726/28559_766788.html
《流星蝴蝶剑》“最终铸剑内测”主播招募震撼开启！,07-25,lx.163.com/news/20180725/28559_766589.html
网易史上最难手游《流星蝴蝶剑》今日开启最终内测,07-25,lx.163.com/news/20180725/28559_766450.html
《流星蝴蝶剑》明日开启最终铸剑内测 CG曝光 预下载开放,07-24,lx.163.com/news/20180724/28559_766262.html
《流星蝴蝶剑》最终铸剑内测iOS/安卓下载指引,07-24,lx.163.com/news/20180724/28559_766257.html
《流星蝴蝶剑》BOSS花式劝退：刚挨完鱼竿抽又要被雷劈,07-23,lx.163.com/news/20180723/28559_766090.html
《流星蝴蝶剑》CG手绘版泄露 浓郁武侠风帅到炸裂,07-20,lx.163.com/news/20180720/28559_765821.html
杀手兵器谱·拳 双拳双面 矛盾共生,07-18,lx.163.com/news/20180718/28559_765419.html
杀手兵器谱·剑 战场千变，游刃有余,07-18,lx.163.com/news/20180718/28559_765414.html
《流星蝴蝶剑》游戏内概率公示,07-18,lx.163.com/news/20180622/28559_760665.html
《流星蝴蝶剑》新手阶段三BOSS曝光，90%玩家曾被卡关！,07-18,lx.163.com/news/20180718/28559_765263.html
《流星蝴蝶剑》7.25测试全新内容曝光：玩家甚至能变“狗”！,07-16,lx.163.com/news/20180716/28559_764761.html
《流星蝴蝶剑》7月25日二测更新：石灰，毒镖还有炸药？！,07-13,lx.163.com/news/20180713/28559_764374.html
《流星蝴蝶剑》二测爆料 安卓苹果同时开启 千元机畅玩,07-11,lx.163.com/news/20180711/28559_763958.html
杀手兵器谱·枪-百兵之王，长驱直入,07-09,lx.163.com/news/20180709/28559_763621.html
《流星蝴蝶剑》物理效果升级，甚至可以“踢足球”！,07-06,lx.163.com/news/20180706/28559_763234.html
定档了！《流星蝴蝶剑》手游7月25日将开启“最终铸剑内测”,06-29,lx.163.com/news/20180629/28559_761987.html
杀手兵器谱·锤-蓄力出击，侵略如火,06-27,lx.163.com/news/20180627/28559_761499.html
雷火武侠双雄，除了《逆水寒》，还有他......,06-22,lx.163.com/news/20180622/28559_760752.html
被高玩虐了…《流星蝴蝶剑》策划愿赌服输送大礼,06-15,lx.163.com/news/20180619/28559_759967.html
程小东大改《流星蝴蝶剑》手游招式 招式表白背了！,06-13,lx.163.com/news/20180613/28559_759064.html
BOSS大杀四方 《流星蝴蝶剑》首测数据曝光,05-30,lx.163.com/news/20180530/28559_757009.html
首测7天虐玩家60960次！《流星蝴蝶剑》太难了,05-28,lx.163.com/news/20180528/28559_756618.html
5.21官网显示玩家死亡数？《流星蝴蝶剑》手游开测,05-21,lx.163.com/news/20180521/28559_755451.html
最强武行程小东加盟！《流星蝴蝶剑》硬核加码,05-20,lx.163.com/news/20180521/28559_755464.html
《流星蝴蝶剑》iOS测试下载流程,05-16,lx.163.com/news/20180516/28559_754796.html
《流星蝴蝶剑》手游定制手柄曝光，附实机演示,05-15,lx.163.com/news/20180515/28559_754505.html
STN专访关磊：流星蝴蝶剑将会带来全新硬核体验,05-10,lx.163.com/news/20180521/28559_755473.html
三刀毙命，巅峰挑战！《流星蝴蝶剑》实机试玩演示曝光,05-08,lx.163.com/news/20180521/28559_755483.html
超难！敢试试吗？《流星蝴蝶剑》手游首测招募开始,05-07,lx.163.com/news/20180507/28559_753262.html
告别数值碾压！《流星蝴蝶剑》手游将拉平PVP数值,04-26,lx.163.com/news/20180522/28559_755614.html
《流星蝴蝶剑》手游截图曝光 硬派武侠仗剑归来,04-17,lx.163.com/news/20180522/28559_755622.html
流星蝴蝶剑开发组：不吃鸡！不MMO！动作手游的终极进化！,04-12,lx.163.com/news/20180522/28559_755627.html
流星制作人关磊：我们不提供充值碾压的快感,03-09,lx.163.com/news/20180403/28559_747831.html
先难倒一个3dm小编 《流星蝴蝶剑》2017CJ版本体验,07-30,lx.163.com/news/20180403/28559_747827.html
