var str='';
                for (var i in $('.news_item').find('a')){
                	str +=$('.news_item').find('a').eq(i).find("h2").eq(0).text()+','
                	+$('.news_item').find('a').eq(i).find(".time_t").eq(0).text().replace(/[ \r\n]/g, "")+','
                	+$('.news_item').find('a').eq(i).attr('href') +"\n";
                }
                console.log(str)


织梦医者 《楚留香》云梦门派视频曝光,2017-08-02,//clx.163.com/2017/08/02/25588_703797.html
“踏月留香”精英秘测福利活动,2017-07-13,//clx.163.com/2017/07/13/25588_700165.html
网易高自由度武侠手游《楚留香》今日首测,2017-07-13,//clx.163.com/2017/07/13/25588_700150.html
游戏将开首次精英秘测 体验资格获取说明,2017-06-15,//clx.163.com/2017/06/15/25588_695308.html
清冷禁欲 《楚留香》武当门派视频曝光,2017-06-07,//clx.163.com/2017/06/07/25588_693896.html
游侠于江湖 《楚留香》华山门派视频曝光,2017-05-11,//clx.163.com/2017/05/11/25588_688741.html
好多小姐姐！网易《楚留香》搞事开发组视频曝光,2017-04-25,//clx.163.com/2017/04/25/25588_685420.html
冷艳刺客 《楚留香》暗香门派视频首曝,2017-04-11,//clx.163.com/2017/04/11/25588_682711.html
门派视频首曝！《楚留香》少林揭秘,2017-03-16,//clx.163.com/2017/03/16/25588_677601.html
《楚留香》天气系统曝光：阴晴雨雪触发玩家奇遇,2017-03-14,//clx.163.com/2017/03/14/25588_677205.html
《楚留香》塑造真实江湖：我们为何要设计一个花和尚,2017-02-24,//clx.163.com/2017/02/24/25588_673922.html
《楚留香》江南场景截图曝光：待一辈子都不腻,2017-02-24,//clx.163.com/2017/02/24/25588_673921.html
《楚留香》亮相网易年度盛典：打造高自由度武侠手游,2017-02-24,//clx.163.com/2017/02/24/25588_673919.html
《楚留香》主策专访：让开放世界衔接“人与江湖”,2017-02-24,//clx.163.com/2017/02/24/25588_673918.html
网易高自由度武侠手游《楚留香》首曝,2017-02-24,//clx.163.com/2017/02/24/25588_673915.html
《楚留香》江湖百态：你才不是没有故事的NPC,2017-02-22,//clx.163.com/2017/02/22/25588_673368.html
